Timestamp,Motor 1 Desired Position,Motor 2 Desired Position,Motor 3 Desired Position,Motor 4 Desired Position,Motor 5 Desired Position,Motor 6 Desired Position,Motor 7 Desired Position,Motor 8 Desired Position,Motor 9 Desired Position,Motor 10 Desired Position,Motor 11 Desired Position,Motor 12 Desired Position,Motor 13 Desired Position,Motor 14 Desired Position,Motor 15 Desired Position,Motor 16 Desired Position,Motor 17 Desired Position,Motor 18 Desired Position,Motor 19 Desired Position,Motor 20 Desired Position,Motor 21 Desired Position,Motor 1 Present Position,Motor 2 Present Position,Motor 3 Present Position,Motor 4 Present Position,Motor 5 Present Position,Motor 6 Present Position,Motor 7 Present Position,Motor 8 Present Position,Motor 9 Present Position,Motor 10 Present Position,Motor 11 Present Position,Motor 12 Present Position,Motor 13 Present Position,Motor 14 Present Position,Motor 15 Present Position,Motor 16 Present Position,Motor 17 Present Position,Motor 18 Present Position,Motor 19 Present Position,Motor 20 Present Position,Motor 21 Present Position,Motor 1 Present Current,Motor 2 Present Current,Motor 3 Present Current,Motor 4 Present Current,Motor 5 Present Current,Motor 6 Present Current,Motor 7 Present Current,Motor 8 Present Current,Motor 9 Present Current,Motor 10 Present Current,Motor 11 Present Current,Motor 12 Present Current,Motor 13 Present Current,Motor 14 Present Current,Motor 15 Present Current,Motor 16 Present Current,Motor 17 Present Current,Motor 18 Present Current,Motor 19 Present Current,Motor 20 Present Current,Motor 21 Present Current
1.7391e+09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.68894,6.04276,2.58709,0.131255,0.230952,77.9532,-7.93719,-18.464,-5.1003,-3.30899,1.05435,0,0,0.282074,0,0.0995556,0.0218856,-1.152,-0.634682,4.92099,-4.04166,0,0,-1,0,-1,-8,3,-7,-46,30,10,0,0,0,-4,-1,0,3,0,0,0
1.7391e+09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.68894,6.04276,2.58709,0.131255,0.230952,77.9532,-7.93719,-18.464,-5.1003,-3.30899,1.05435,0,0,0.282074,0,0.0995556,0.0218856,-1.152,-0.634682,4.92099,-4.04166,0,0,0,0,-1,-7,3,-5,-46,33,8,0,0,1,-4,-1,0,3,0,-2,-1
1.7391e+09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.68894,6.04276,2.58709,0.131255,0.230952,77.9532,-7.93719,-18.464,-5.1003,-3.30863,1.05435,0,0,0.282074,0,0.0995556,0.0218856,-1.152,-0.634682,4.92099,-4.04166,-1,0,-2,0,0,-7,3,-7,-45,28,10,0,0,1,-3,-1,0,3,0,2,1
1.7391e+09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.68894,6.04276,2.58709,0.131255,0.230952,77.9532,-7.93719,-18.464,-5.1003,-3.30899,1.05435,0,0,0.282074,0,0.0995556,0.0218856,-1.152,-0.634682,4.92099,-4.04166,-1,0,1,0,0,-7,3,-7,-47,35,9,0,-1,1,-3,-1,0,3,0,-4,0
1.7391e+09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.68894,6.04276,2.58709,0.131255,0.230952,77.9532,-7.93719,-18.464,-5.1003,-3.30863,1.05435,0,0,0.282074,0,0.0995556,0.0218856,-1.152,-0.634682,4.92099,-4.04166,-1,0,0,0,0,-8,3,-6,-45,40,9,-1,0,0,-4,-2,0,3,0,-2,0
1.7391e+09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.68894,6.04276,2.58709,0.131255,0.230952,77.9532,-7.93719,-18.464,-5.1003,-3.30863,1.05435,0,0,0.282074,0,0.0995556,0.0218856,-1.152,-0.634682,4.92099,-4.04166,-1,0,0,0,0,-7,2,-7,-44,42,9,0,0,0,-3,0,0,2,0,0,-1
1.7391e+09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.68894,6.04276,2.58709,0.131255,0.230952,77.9532,-7.93719,-18.464,-5.1003,-3.30863,1.05435,0,0,0.282074,0,0.0995556,0.0218856,-1.152,-0.634682,4.92099,-4.04166,0,0,0,0,0,-8,3,-6,-45,41,10,0,1,0,-4,0,0,3,0,0,0
1.7391e+09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.68894,6.04276,2.58709,0.131255,0.230952,77.9532,-7.93719,-18.464,-5.1003,-3.30863,1.05435,0,0,0.282074,0,0.0995556,0.0218856,-1.152,-0.634682,4.92099,-4.04166,0,0,1,0,0,-6,3,-7,-46,38,9,0,0,0,-4,-2,0,2,0,-2,2
1.7391e+09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.68894,6.04276,2.58709,0.131255,0.230952,77.9532,-7.93719,-18.464,-5.1003,-3.30863,1.05435,0,0,0.282074,0,0.0995556,0.0218856,-1.152,-0.634682,4.92099,-4.04166,0,0,0,0,0,-8,3,-7,-46,38,7,0,0,1,-4,-1,0,3,0,0,0
1.7391e+09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.68894,6.04276,2.58709,0.131255,0.230952,77.9532,-7.93719,-18.464,-5.1003,-3.30863,1.05435,0,0,0.282074,0,0.0995556,0.0218856,-1.152,-0.634682,4.92099,-4.04166,3,0,-1,0,0,-6,3,-6,-47,39,10,1,-1,1,-3,-1,0,3,0,1,2
1.7391e+09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.68894,6.04276,2.58709,0.131255,0.230952,77.9532,-7.93719,-18.464,-5.1003,-3.30863,1.05435,0,0,0.282074,0,0.0995556,0.0218856,-1.152,-0.634682,4.92099,-4.04166,4,0,-1,0,0,-7,3,-6,-43,41,10,-1,0,0,-4,-1,0,3,0,2,1
1.7391e+09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.68894,6.04276,2.58709,0.131255,0.230952,77.9532,-7.93719,-18.464,-5.1003,-3.30863,1.05435,0,0,0.282074,0,0.0995556,0.0218856,-1.152,-0.634682,4.92099,-4.04166,0,0,0,0,-1,-8,3,-5,-45,33,11,0,-1,1,-4,-1,0,2,0,0,0
1.7391e+09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.68894,6.04276,2.58709,0.131255,0.230952,77.9532,-7.93719,-18.464,-5.1003,-3.30863,1.05435,0,0,0.282074,0,0.0995556,0.0218856,-1.152,-0.634682,4.92099,-4.04166,0,0,0,0,-1,-7,3,-6,-45,44,11,0,-1,1,-3,-1,0,2,0,1,-1
1.7391e+09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.68894,6.04276,2.58709,0.131255,0.230952,77.9532,-7.93719,-18.464,-5.1003,-3.30863,1.05435,0,0,0.282074,0,0.0995556,0.0218856,-1.152,-0.634682,4.92099,-4.04166,2,0,0,0,0,-8,3,-7,-46,45,13,0,0,1,-4,-3,0,2,0,3,0
1.7391e+09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.68894,6.04276,2.58709,0.131255,0.230952,77.9532,-7.93719,-18.464,-5.1003,-3.30863,1.05435,0,0,0.282074,0,0.0995556,0.0218856,-1.152,-0.634682,4.92099,-4.04166,0,0,0,0,0,-8,3,-5,-44,43,7,0,0,1,-3,-3,0,2,0,3,0
1.7391e+09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.68894,6.04276,2.58709,0.131255,0.230952,77.9532,-7.93719,-18.464,-5.1003,-3.30863,1.05435,0,0,0.282074,0,0.0995556,0.0218856,-1.152,-0.634682,4.92099,-4.04166,2,0,-2,0,0,-6,3,-6,-47,37,8,0,0,0,-3,-2,0,3,0,2,1
1.7391e+09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.68894,6.04276,2.58709,0.131255,0.230952,77.9532,-7.93719,-18.464,-5.1003,-3.30863,1.05435,0,0,0.282074,0,0.0995556,0.0218856,-1.152,-0.634682,4.92099,-4.04166,-1,0,1,0,0,-7,2,-7,-45,39,13,0,0,1,-4,-1,0,2,0,0,0
1.7391e+09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.68894,6.04276,2.58709,0.131255,0.230952,77.9532,-7.93719,-18.464,-5.1003,-3.30863,1.05435,0,0,0.282074,0,0.0995556,0.0218856,-1.152,-0.634682,4.92099,-4.04166,0,0,1,0,0,-7,2,-6,-45,41,14,0,1,0,-3,-1,0,2,0,-2,-1
1.7391e+09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.68894,6.04276,2.58709,0.131255,0.230952,77.9532,-7.93719,-18.464,-5.1003,-3.30863,1.05435,0,0,0.282074,0,0.0995556,0.0218856,-1.152,-0.634682,4.92099,-4.04166,-2,0,0,0,0,-7,2,-6,-44,40,9,0,1,0,-4,-1,0,2,0,-1,0
1.7391e+09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.68894,6.04276,2.58709,0.131255,0.230952,77.9532,-7.93719,-18.464,-5.1003,-3.30863,1.05435,0,0,0.282074,0,0.0995556,0.0218856,-1.152,-0.634682,4.92099,-4.04166,-3,0,-1,0,0,-7,3,-6,-45,44,12,0,0,0,-4,-1,0,2,0,-2,1
1.7391e+09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.68894,6.04276,2.58709,0.131255,0.230952,77.9532,-7.93719,-18.464,-5.1003,-3.30863,1.05435,0,0,0.282074,0,0.0995556,0.0218856,-1.152,-0.634682,4.92099,-4.04166,-1,0,0,0,1,-7,3,-5,-47,41,8,0,0,0,-4,-3,0,2,0,0,0
1.7391e+09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.68894,6.04276,2.58709,0.131255,0.230952,77.9532,-7.93719,-18.464,-5.1003,-3.30863,1.05435,0,0,0.282074,0,0.0995556,0.0218856,-1.152,-0.634682,4.92099,-4.04166,-1,0,-1,0,0,-7,2,-6,-45,38,10,0,0,1,-3,-2,0,2,0,-1,0
1.7391e+09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.68894,6.04276,2.58709,0.131255,0.230952,77.9532,-7.93719,-18.464,-5.1003,-3.30863,1.05435,0,0,0.282074,0,0.0995556,0.0218856,-1.152,-0.634682,4.92099,-4.04166,-1,0,0,0,0,-7,2,-5,-45,44,11,-1,0,0,-3,-1,0,3,0,-1,-2
1.7391e+09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.68894,6.04276,2.58709,0.131255,0.230952,77.9532,-7.93719,-18.464,-5.1003,-3.30863,1.05435,0,0,0.282074,0,0.0995556,0.0218856,-1.152,-0.634682,4.92099,-4.04166,1,0,0,0,0,-6,3,-5,-46,40,11,-1,0,0,-4,-1,0,3,0,0,-2
1.7391e+09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.68894,6.04276,2.58709,0.131255,0.230952,77.9532,-7.93719,-18.464,-5.1003,-3.30863,1.05435,0,0,0.282074,0,0.0995556,0.0218856,-1.152,-0.634682,4.92099,-4.04166,3,0,0,0,1,-8,2,-7,-46,42,10,0,0,0,-3,-2,0,2,0,0,0
1.7391e+09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.68894,6.04276,2.58709,0.131255,0.230952,77.9532,-7.93719,-18.464,-5.1003,-3.30863,1.05435,0,0,0.282074,0,0.0995556,0.0218856,-1.152,-0.634682,4.92099,-4.04166,0,0,-1,0,0,-7,2,-5,-45,40,7,-1,-1,0,-3,-3,0,2,0,1,0
1.7391e+09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.68894,6.04276,2.58709,0.131255,0.230952,77.9532,-7.93719,-18.464,-5.1003,-3.30863,1.05435,0,0,0.282074,0,0.0995556,0.0218856,-1.152,-0.634682,4.92099,-4.04166,0,0,1,0,0,-7,3,-5,-44,37,9,1,1,1,-3,-2,0,3,0,0,0
1.7391e+09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.68894,6.04276,2.58709,0.131255,0.230952,77.9532,-7.93719,-18.464,-5.1003,-3.30863,1.05435,0,0,0.282074,0,0.0995556,0.0218856,-1.152,-0.634682,4.92099,-4.04166,-1,0,0,0,0,-6,3,-5,-45,41,10,0,0,1,-3,-1,0,2,0,0,0
1.7391e+09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.68894,6.04276,2.58709,0.131255,0.230952,77.9532,-7.93719,-18.464,-5.1003,-3.30863,1.05435,0,0,0.282074,0,0.0995556,0.0218856,-1.152,-0.634682,4.92099,-4.04166,2,0,0,0,-1,-9,3,-6,-45,40,13,0,2,1,-3,-2,0,3,-1,1,-1
1.7391e+09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.68894,6.04276,2.58709,0.131255,0.230952,77.9532,-7.93719,-18.464,-5.1003,-3.30863,1.05435,0,0,0.282074,0,0.0995556,0.0218856,-1.152,-0.634682,4.92099,-4.04166,-1,0,0,0,0,-7,3,-4,-45,38,12,0,0,0,-4,-2,0,3,0,0,0
1.7391e+09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.68894,6.04276,2.58709,0.131255,0.230952,77.9532,-7.93719,-18.464,-5.1003,-3.30863,1.05435,0,0,0.282074,0,0.0995556,0.0218856,-1.152,-0.634682,4.92099,-4.04166,0,0,1,0,0,-7,3,-5,-46,40,10,0,0,0,-4,-2,0,2,-1,0,0
1.7391e+09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.68894,6.04276,2.58709,0.131255,0.230952,77.9532,-7.93719,-18.464,-5.1003,-3.30863,1.05435,0,0,0.282074,0,0.0995556,0.0218856,-1.152,-0.634682,4.92099,-4.04166,0,0,0,0,0,-7,3,-6,-44,38,11,0,0,0,-3,-3,0,2,0,2,0
1.7391e+09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.68894,6.04276,2.58709,0.131255,0.230952,77.9532,-7.93719,-18.464,-5.1003,-3.30863,1.05435,0,0,0.282074,0,0.0995556,0.0218856,-1.152,-0.634682,4.92099,-4.04166,0,0,0,0,0,-7,2,-6,-46,41,12,0,0,0,-3,-3,0,3,0,-2,1
1.7391e+09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.68894,6.04276,2.58709,0.131255,0.230952,77.9532,-7.93719,-18.464,-5.1003,-3.30863,1.05435,0,0,0.282074,0,0.0995556,0.0218856,-1.152,-0.634682,4.92099,-4.04166,-1,0,0,0,0,-8,3,-6,-46,38,9,0,-1,0,-3,-2,0,3,0,0,-2
1.7391e+09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.68894,6.04276,2.58709,0.131255,0.230952,77.9532,-7.93719,-18.464,-5.1003,-3.30863,1.05435,0,0,0.282074,0,0.0995556,0.0218856,-1.152,-0.634682,4.92099,-4.04166,-1,0,0,0,1,-6,2,-5,-47,38,8,-1,0,0,-3,-2,0,2,0,0,1
1.7391e+09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.68894,6.04276,2.58709,0.131255,0.230952,77.9532,-7.93719,-18.464,-5.1003,-3.30863,1.05435,0,0,0.282074,0,0.0995556,0.0218856,-1.152,-0.634682,4.92099,-4.04166,-1,0,0,0,0,-7,3,-4,-44,43,7,0,0,0,-4,-3,0,3,0,1,-1
